Ensembl Gene ID	Gene Symbol	p-value value	Geneset friends	Total friends	BioType	GO Annotation	Chromosome	Chromosome Start	Chromosome End
ENSG00000126767	ELK1	8.40e-02	2	2747	protein_coding	ELK1, member of ETS oncogene family	X	47494920	47510003
ENSG00000239306	RBM14	8.48e-02	2	2761	protein_coding	RNA binding motif protein 14	11	66384053	66394818
ENSG00000111596	CNOT2	8.54e-02	2	2772	protein_coding	CCR4-NOT transcription complex, subunit 2	12	70636774	70748773
ENSG00000138778	CENPE	8.58e-02	2	2779	protein_coding	centromere protein E, 312kDa	4	104026963	104119566
ENSG00000170515	PA2G4	8.67e-02	2	2796	protein_coding	proliferation-associated 2G4, 38kDa	12	56498103	56507691
ENSG00000130758	MAP3K10	8.70e-02	2	2802	protein_coding	mitogen-activated protein kinase kinase kinase 10	19	40697651	40721482
ENSG00000101126	ADNP	8.76e-02	2	2813	protein_coding	activity-dependent neuroprotector homeobox	20	49505585	49547958
ENSG00000077809	GTF2I	8.81e-02	2	2823		general transcription factor IIi	7	74071994	74175026
ENSG00000113649	TCERG1	8.82e-02	2	2825	protein_coding	transcription elongation regulator 1	5	145826874	145891524
ENSG00000172379	ARNT2	8.85e-02	2	2830	protein_coding	aryl-hydrocarbon receptor nuclear translocator 2	15	80696692	80890278
ENSG00000114062	UBE3A	8.90e-02	2	2839	protein_coding	ubiquitin protein ligase E3A	15	25582381	25684128
ENSG00000008838	MED24	8.91e-02	2	2841	protein_coding	mediator complex subunit 24	17	38175350	38217468
ENSG00000144747	TMF1	8.94e-02	2	2846	protein_coding	TATA element modulatory factor 1	3	69068978	69101484
ENSG00000102804	TSC22D1	8.95e-02	2	2848	protein_coding	TSC22 domain family, member 1	13	45007655	45151283
ENSG00000095564	BTAF1	8.99e-02	2	2856	protein_coding	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa	10	93683526	93790082
ENSG00000213523	SRA1	9.00e-02	2	2857	protein_coding	steroid receptor RNA activator 1	5	139916925	139937895
ENSG00000101544	ADNP2	9.02e-02	2	2861	protein_coding	ADNP homeobox 2	18	77866915	77905406
ENSG00000163960	UBXN7	9.04e-02	2	2865	protein_coding	UBX domain protein 7	3	196074533	196159345
ENSG00000184271	POU6F1	9.11e-02	2	2878	protein_coding	POU class 6 homeobox 1	12	51580719	51611477
ENSG00000160783	PMF1	9.15e-02	2	2885	protein_coding	polyamine-modulated factor 1	1	156182784	156212874
ENSG00000112242	E2F3	9.20e-02	2	2893	protein_coding	E2F transcription factor 3	6	20402398	20493941
ENSG00000009954	BAZ1B	9.20e-02	2	2894	protein_coding	bromodomain adjacent to zinc finger domain, 1B	7	72854728	72936608
ENSG00000115750	TAF1B	9.24e-02	2	2900	protein_coding	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	2	9983483	10074545
ENSG00000107779	BMPR1A	9.32e-02	2	2915	protein_coding	bone morphogenetic protein receptor, type IA	10	88516407	88692595
ENSG00000140307	GTF2A2	9.35e-02	2	2921	protein_coding	general transcription factor IIA, 2, 12kDa	15	59930261	59949740
ENSG00000168036	CTNNB1	9.41e-02	2	2931	protein_coding	catenin (cadherin-associated protein), beta 1, 88kDa	3	41236328	41301587
ENSG00000134504	KCTD1	9.41e-02	2	2931	protein_coding	potassium channel tetramerization domain containing 1	18	24034874	24237365
ENSG00000088881	EBF4	9.41e-02	2	2931	protein_coding	early B-cell factor 4	20	2673524	2740753
ENSG00000108270	AATF	9.47e-02	2	2943		apoptosis antagonizing transcription factor	17	35306175	35414171
ENSG00000135457	TFCP2	9.55e-02	2	2957	protein_coding	transcription factor CP2	12	51487446	51566926
ENSG00000198315	ZKSCAN8	9.56e-02	2	2959	protein_coding	zinc finger with KRAB and SCAN domains 8	6	28109688	28127250
ENSG00000118707	TGIF2	9.68e-02	2	2979	protein_coding	TGFB-induced factor homeobox 2	20	35201891	35222353
ENSG00000166313	APBB1	9.73e-02	2	2988	protein_coding	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	11	6416355	6440644
ENSG00000153560	UBP1	9.77e-02	2	2995	protein_coding	upstream binding protein 1 (LBP-1a)	3	33429828	33482863
ENSG00000087191	PSMC5	9.82e-02	2	3004	protein_coding	proteasome (prosome, macropain) 26S subunit, ATPase, 5	17	61904512	61909379
ENSG00000100410	PHF5A	9.86e-02	2	3011	protein_coding	PHD finger protein 5A	22	41855721	41864729
ENSG00000143437	ARNT	9.87e-02	2	3013	protein_coding	aryl hydrocarbon receptor nuclear translocator	1	150782181	150849244
ENSG00000164985	PSIP1	9.99e-02	2	3034	protein_coding	PC4 and SFRS1 interacting protein 1	9	15464064	15511017
ENSG00000162613	FUBP1	1.00e-01	2	3036	protein_coding	far upstream element (FUSE) binding protein 1	1	78409740	78444794
ENSG00000106261	ZKSCAN1	1.00e-01	2	3042	protein_coding	zinc finger with KRAB and SCAN domains 1	7	99613204	99639312
ENSG00000116030	SUMO1	1.01e-01	2	3047	protein_coding	small ubiquitin-like modifier 1	2	203070903	203103331
ENSG00000054118	THRAP3	1.01e-01	2	3053	protein_coding	thyroid hormone receptor associated protein 3	1	36690017	36770958
ENSG00000106554	CHCHD3	1.01e-01	2	3062	protein_coding	coiled-coil-helix-coiled-coil-helix domain containing 3	7	132469629	132766848
ENSG00000108924	HLF	1.02e-01	2	3072	protein_coding	hepatic leukemia factor	17	53342373	53402426
ENSG00000180182	MED14	1.02e-01	2	3073	protein_coding	mediator complex subunit 14	X	40507558	40595110
ENSG00000239672	NME1	1.02e-01	2	3075	protein_coding	NME/NM23 nucleoside diphosphate kinase 1	17	49230897	49239789
ENSG00000162601	MYSM1	1.03e-01	2	3092	protein_coding	Myb-like, SWIRM and MPN domains 1	1	59120411	59165764
ENSG00000004487	KDM1A	1.04e-01	2	3098	protein_coding	lysine (K)-specific demethylase 1A	1	23345941	23410182
ENSG00000066117	SMARCD1	1.04e-01	2	3100	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	12	50478755	50494495
ENSG00000120798	NR2C1	1.05e-01	2	3118	protein_coding	nuclear receptor subfamily 2, group C, member 1	12	95414005	95467479
ENSG00000178662	CSRNP3	1.05e-01	2	3123	protein_coding	cysteine-serine-rich nuclear protein 3	2	166326157	166545917
ENSG00000110925	CSRNP2	1.05e-01	2	3127	protein_coding	cysteine-serine-rich nuclear protein 2	12	51454990	51477447
ENSG00000196531	NACA	1.06e-01	2	3147	protein_coding	nascent polypeptide-associated complex alpha subunit	12	57106212	57125412
ENSG00000151090	THRB	1.07e-01	2	3158	protein_coding	thyroid hormone receptor, beta	3	24158651	24536773
ENSG00000151240	DIP2C	1.07e-01	2	3164	protein_coding	DIP2 disco-interacting protein 2 homolog C (Drosophila)	10	320130	735683
ENSG00000065717	TLE2	1.07e-01	2	3166	protein_coding	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	19	2997636	3047633
ENSG00000109501	WFS1	1.09e-01	2	3189	protein_coding	Wolfram syndrome 1 (wolframin)	4	6271576	6304992
ENSG00000082014	SMARCD3	1.10e-01	2	3204	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	7	150935850	150974982
ENSG00000143390	RFX5	1.10e-01	2	3209	protein_coding	regulatory factor X, 5 (influences HLA class II expression)	1	151313116	151319833
ENSG00000185651	UBE2L3	1.11e-01	2	3235	protein_coding	ubiquitin-conjugating enzyme E2L 3	22	21903736	21978323
ENSG00000099956	SMARCB1	1.12e-01	2	3236	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	22	24129150	24176703
ENSG00000103275	UBE2I	1.14e-01	2	3286	protein_coding	ubiquitin-conjugating enzyme E2I	16	1355548	1377019
ENSG00000104824	HNRNPL	1.19e-01	2	3362	protein_coding	heterogeneous nuclear ribonucleoprotein L	19	39327028	39342987
ENSG00000165119	HNRNPK	1.21e-01	2	3398	protein_coding	heterogeneous nuclear ribonucleoprotein K	9	86582998	86595569
ENSG00000169057	MECP2	1.25e-01	2	3458	protein_coding	methyl CpG binding protein 2 (Rett syndrome)	X	153287024	153363212
ENSG00000121413	ZSCAN18	1.27e-01	2	3502	protein_coding	zinc finger and SCAN domain containing 18	19	58595205	58629794
ENSG00000167074	TEF	1.29e-01	2	3522	protein_coding	thyrotrophic embryonic factor	22	41763337	41795330
ENSG00000172845	SP3	1.29e-01	2	3528	protein_coding	Sp3 transcription factor	2	174771187	174830430
ENSG00000185721	DRG1	1.30e-01	2	3539	protein_coding	developmentally regulated GTP binding protein 1	22	31795509	31924726
ENSG00000121671	CRY2	1.30e-01	2	3549	protein_coding	cryptochrome 2 (photolyase-like)	11	45868669	45904798
ENSG00000100603	SNW1	1.32e-01	2	3583	protein_coding	SNW domain containing 1	14	78183942	78227550
ENSG00000124422	USP22	1.34e-01	2	3610	protein_coding	ubiquitin specific peptidase 22	17	20902910	20947073
ENSG00000149480	MTA2	1.40e-01	2	3710	protein_coding	metastasis associated 1 family, member 2	11	62360686	62369312
ENSG00000126351	THRA	1.45e-01	2	3786	protein_coding	thyroid hormone receptor, alpha	17	38214543	38250120
ENSG00000111676	ATN1	1.48e-01	2	3836	protein_coding	atrophin 1	12	7033626	7051484
ENSG00000092377	TBL1Y	1.60e-01	1	954	protein_coding	transducin (beta)-like 1, Y-linked	Y	6778727	6959724
ENSG00000137090	DMRT1	1.65e-01	1	989	protein_coding	doublesex and mab-3 related transcription factor 1	9	841690	969090
ENSG00000131849	ZNF132	1.68e-01	1	1007	protein_coding	zinc finger protein 132	19	58944181	58951589
ENSG00000104447	TRPS1	1.74e-01	1	1046	protein_coding	trichorhinophalangeal syndrome I	8	116420724	116821899
ENSG00000185686	PRAME	1.82e-01	1	1100	protein_coding	preferentially expressed antigen in melanoma	22	22890123	22901768
ENSG00000125850	OVOL2	1.85e-01	1	1114	protein_coding	ovo-like zinc finger 2	20	17937623	18039832
ENSG00000122145	TBX22	1.94e-01	1	1177	protein_coding	T-box 22	X	79270255	79287268
ENSG00000184937	WT1	1.96e-01	1	1189	protein_coding	Wilms tumor 1	11	32409321	32457176
ENSG00000187801	ZFP69B	1.97e-01	1	1199	protein_coding	ZFP69 zinc finger protein B	1	40915774	40929390
ENSG00000183770	FOXL2	1.98e-01	1	1202	protein_coding	forkhead box L2	3	138663066	138665982
ENSG00000102908	NFAT5	2.12e-01	1	1296	protein_coding	nuclear factor of activated T-cells 5, tonicity-responsive	16	69598997	69738569
ENSG00000203989	RHOXF2B	2.12e-01	1	1301	protein_coding	Rhox homeobox family, member 2B	X	119205848	119211707
ENSG00000104689	TNFRSF10A	2.12e-01	1	1302	protein_coding	tumor necrosis factor receptor superfamily, member 10a	8	23047965	23082639
ENSG00000064218	DMRT3	2.13e-01	1	1307	protein_coding	doublesex and mab-3 related transcription factor 3	9	976964	991731
ENSG00000170689	HOXB9	2.15e-01	1	1317	protein_coding	homeobox B9	17	46698518	46703839
ENSG00000142025	DMRTC2	2.16e-01	1	1325	protein_coding	DMRT-like family C2	19	42348806	42356401
ENSG00000182521	TBPL2	2.16e-01	1	1328	protein_coding	TATA box binding protein like 2	14	55880259	55923444
ENSG00000126752	SSX1	2.17e-01	1	1335	protein_coding	synovial sarcoma, X breakpoint 1	X	48114752	48126879
ENSG00000163666	HESX1	2.18e-01	1	1338	protein_coding	HESX homeobox 1	3	57231944	57260549
ENSG00000004848	ARX	2.26e-01	1	1392	protein_coding	aristaless related homeobox	X	25021811	25034065
ENSG00000185219	ZNF445	2.27e-01	1	1403	protein_coding	zinc finger protein 445	3	44481262	44519162
ENSG00000054598	FOXC1	2.27e-01	1	1403	protein_coding	forkhead box C1	6	1610681	1614127
ENSG00000268171		2.31e-01	1	1429		Uncharacterized protein 	4	57276682	57277131
ENSG00000165643	SOHLH1	2.31e-01	1	1431	protein_coding	spermatogenesis and oogenesis specific basic helix-loop-helix 1	9	138585253	138591374
ENSG00000188816	HMX2	2.33e-01	1	1441	protein_coding	H6 family homeobox 2	10	124907638	124910188
ENSG00000171456	ASXL1	2.36e-01	1	1462	protein_coding	additional sex combs like 1 (Drosophila)	20	30946155	31027122
ENSG00000128652	HOXD3	2.36e-01	1	1466	protein_coding	homeobox D3	2	177001340	177037830
ENSG00000198300	PEG3	2.39e-01	1	1484	protein_coding	paternally expressed 3	19	57321445	57352096
ENSG00000160949	TONSL	2.39e-01	1	1485	protein_coding	tonsoku-like, DNA repair protein	8	145654165	145669827
ENSG00000173473	SMARCC1	2.43e-01	1	1514	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	3	47626762	47823596
ENSG00000168505	GBX2	2.43e-01	1	1516	protein_coding	gastrulation brain homeobox 2	2	237073879	237077012
ENSG00000172466	ZNF24	2.45e-01	1	1529	protein_coding	zinc finger protein 24	18	32912176	32925446
ENSG00000131721	RHOXF2	2.48e-01	1	1549	protein_coding	Rhox homeobox family, member 2	X	119292467	119297945
ENSG00000117036	ETV3	2.49e-01	1	1554	protein_coding	ets variant 3	1	157090983	157108266
ENSG00000204532		2.49e-01	1	1556	protein_coding	zinc finger and SCAN domain containing 5C	19	56713670	56720821
ENSG00000196459	TRAPPC2	2.51e-01	1	1570	protein_coding	trafficking protein particle complex 2	X	13730363	13752754
ENSG00000159692	CTBP1	2.52e-01	1	1575	protein_coding	C-terminal binding protein 1	4	1205236	1243741
ENSG00000147117	ZNF157	2.54e-01	1	1593	protein_coding	zinc finger protein 157	X	47229982	47273704
ENSG00000139154	AEBP2	2.54e-01	1	1593	protein_coding	AE binding protein 2	12	19556979	19873735
ENSG00000101255	TRIB3	2.56e-01	1	1603	protein_coding	tribbles pseudokinase 3	20	361261	378203
ENSG00000165388	ZNF488	2.57e-01	1	1614		zinc finger protein 488	10	48355024	48373866
ENSG00000141040	ZNF287	2.59e-01	1	1624	protein_coding	zinc finger protein 287	17	16454701	16472520
ENSG00000078399	HOXA9	2.60e-01	1	1632	protein_coding	homeobox A9	7	27202054	27210117
ENSG00000111642	CHD4	2.60e-01	1	1633	protein_coding	chromodomain helicase DNA binding protein 4	12	6679249	6716642
ENSG00000136866	ZFP37	2.60e-01	1	1634	protein_coding	ZFP37 zinc finger protein	9	115800660	115819039
ENSG00000105085	MED26	2.60e-01	1	1634	protein_coding	mediator complex subunit 26	19	16685718	16739873
ENSG00000100146	SOX10	2.62e-01	1	1648	protein_coding	SRY (sex determining region Y)-box 10	22	38366693	38383429
ENSG00000120952	PRAMEF2	2.63e-01	1	1653	protein_coding	PRAME family member 2	1	12916941	12921764
ENSG00000134532	SOX5	2.63e-01	1	1653	protein_coding	SRY (sex determining region Y)-box 5	12	23682440	24103966
ENSG00000165259	HDX	2.65e-01	1	1668	protein_coding	highly divergent homeobox	X	83572882	83757487
ENSG00000116721	PRAMEF1	2.66e-01	1	1675	protein_coding	PRAME family member 1	1	12851546	12856777
ENSG00000037965	HOXC8	2.67e-01	1	1682	protein_coding	homeobox C8	12	54402832	54407570
ENSG00000169981	ZNF35	2.67e-01	1	1687	protein_coding	zinc finger protein 35	3	44690219	44702283
ENSG00000118526	TCF21	2.68e-01	1	1691	protein_coding	transcription factor 21	6	134210276	134216691
ENSG00000171634	BPTF	2.68e-01	1	1694	protein_coding	bromodomain PHD finger transcription factor	17	65821640	65980494
ENSG00000113658	SMAD5	2.70e-01	1	1704	protein_coding	SMAD family member 5	5	135468534	135524435
ENSG00000111912	NCOA7	2.70e-01	1	1708	protein_coding	nuclear receptor coactivator 7	6	126102307	126252266
ENSG00000170370	EMX2	2.71e-01	1	1712	protein_coding	empty spiracles homeobox 2	10	119301955	119309056
ENSG00000170448	NFXL1	2.71e-01	1	1717	protein_coding	nuclear transcription factor, X-box binding-like 1	4	47849257	47916653
ENSG00000078403	MLLT10	2.72e-01	1	1721	protein_coding	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	10	21823094	22032559
ENSG00000130751	NPAS1	2.72e-01	1	1721	protein_coding	neuronal PAS domain protein 1	19	47523077	47549033
ENSG00000163064	EN1	2.72e-01	1	1724	protein_coding	engrailed homeobox 1	2	119599747	119605254
ENSG00000111670	GNPTAB	2.72e-01	1	1724	protein_coding	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	12	102139275	102224716
ENSG00000107249	GLIS3	2.73e-01	1	1726	protein_coding	GLIS family zinc finger 3	9	3824127	4348392
ENSG00000170166	HOXD4	2.74e-01	1	1734	protein_coding	homeobox D4	2	177015950	177017954
ENSG00000109670	FBXW7	2.74e-01	1	1736	protein_coding	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase	4	153242410	153457253
ENSG00000213921	LEUTX	2.74e-01	1	1736	protein_coding	leucine twenty homeobox	19	40267235	40276775
ENSG00000119547	ONECUT2	2.74e-01	1	1737	protein_coding	one cut homeobox 2	18	55102917	55158529
ENSG00000167157	PRRX2	2.74e-01	1	1739	protein_coding	paired related homeobox 2	9	132427920	132484875
ENSG00000133937	GSC	2.75e-01	1	1741	protein_coding	goosecoid homeobox	14	95234553	95236562
ENSG00000144791	LIMD1	2.76e-01	1	1753	protein_coding	LIM domains containing 1	3	45596886	45727830
ENSG00000111704	NANOG	2.77e-01	1	1756	protein_coding	Nanog homeobox	12	7940390	7948655
ENSG00000095794	CREM	2.77e-01	1	1759	protein_coding	cAMP responsive element modulator	10	35415719	35501886
ENSG00000128709	HOXD9	2.79e-01	1	1772	protein_coding	homeobox D9	2	176987088	176989853
ENSG00000187140	FOXD3	2.79e-01	1	1775	protein_coding	forkhead box D3	1	63788730	63790797
ENSG00000124216	SNAI1	2.80e-01	1	1780	protein_coding	snail family zinc finger 1	20	48599536	48605423
ENSG00000139613	SMARCC2	2.81e-01	1	1788	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	12	56556767	56583351
ENSG00000180318	ALX1	2.83e-01	1	1801	protein_coding	ALX homeobox 1	12	85673885	85695562
ENSG00000180818	HOXC10	2.84e-01	1	1810	protein_coding	homeobox C10	12	54378849	54384063
ENSG00000116726	PRAMEF12	2.84e-01	1	1812	protein_coding	PRAME family member 12	1	12834984	12838049
ENSG00000204513	PRAMEF11	2.85e-01	1	1814		PRAME family member 11	1	12884468	12891264
ENSG00000188290	HES4	2.85e-01	1	1815	protein_coding	hes family bHLH transcription factor 4	1	934342	935552
ENSG00000108511	HOXB6	2.85e-01	1	1819	protein_coding	homeobox B6	17	46671639	46682354
ENSG00000204595	DPRX	2.86e-01	1	1822	protein_coding	divergent-paired related homeobox	19	54135310	54140263
ENSG00000117475	BLZF1	2.87e-01	1	1834	protein_coding	basic leucine zipper nuclear factor 1	1	169337208	169365778
ENSG00000111802	TDP2	2.88e-01	1	1841	protein_coding	tyrosyl-DNA phosphodiesterase 2	6	24650205	24667261
ENSG00000144355	DLX1	2.89e-01	1	1850	protein_coding	distal-less homeobox 1	2	172949468	172954405
ENSG00000177311	ZBTB38	2.89e-01	1	1850	protein_coding	zinc finger and BTB domain containing 38	3	141043055	141168634
ENSG00000176293	ZNF135	2.90e-01	1	1851	protein_coding	zinc finger protein 135	19	58570607	58597677
ENSG00000145736	GTF2H2	2.91e-01	1	1863	protein_coding	general transcription factor IIH, polypeptide 2, 44kDa	5	70330784	70363516
ENSG00000148737	TCF7L2	2.92e-01	1	1866	protein_coding	transcription factor 7-like 2 (T-cell specific, HMG-box)	10	114710009	114927437
ENSG00000181449	SOX2	2.92e-01	1	1870	protein_coding	SRY (sex determining region Y)-box 2	3	181429714	181432221
ENSG00000123064	DDX54	2.93e-01	1	1876	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	12	113594979	113623284
ENSG00000186103	ARGFX	2.94e-01	1	1883	protein_coding	arginine-fifty homeobox	3	121289551	121305481
ENSG00000136960	ENPP2	2.94e-01	1	1883	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 2	8	120569326	120685693
ENSG00000139624	CERS5	2.94e-01	1	1884	protein_coding	ceramide synthase 5	12	50523575	50561288
ENSG00000169131	ZNF354A	2.94e-01	1	1887	protein_coding	zinc finger protein 354A	5	178138593	178157703
ENSG00000186448	ZNF197	2.95e-01	1	1890	protein_coding	zinc finger protein 197	3	44626380	44689963
ENSG00000080603	SRCAP	2.97e-01	1	1908	protein_coding	Snf2-related CREBBP activator protein	16	30709530	30755602
ENSG00000214325		2.98e-01	1	1915		Uncharacterized protein 	16	75728367	75734089
ENSG00000128645	HOXD1	2.98e-01	1	1917	protein_coding	homeobox D1	2	177053307	177055688
ENSG00000163132	MSX1	2.99e-01	1	1921	protein_coding	msh homeobox 1	4	4861393	4865663
ENSG00000167548	KMT2D	2.99e-01	1	1923	protein_coding	lysine (K)-specific methyltransferase 2D	12	49412758	49453557
ENSG00000118495	PLAGL1	3.00e-01	1	1929	protein_coding	pleiomorphic adenoma gene-like 1	6	144261437	144385735
ENSG00000164778	EN2	3.01e-01	1	1938	protein_coding	engrailed homeobox 2	7	155250824	155257526
ENSG00000142684	ZNF593	3.02e-01	1	1941	protein_coding	zinc finger protein 593	1	26496362	26498551
ENSG00000156469	MTERFD1	3.04e-01	1	1956	protein_coding	MTERF domain containing 1	8	97251626	97273838
ENSG00000167085	PHB	3.04e-01	1	1959	protein_coding	prohibitin	17	47481414	47492246
ENSG00000090612	ZNF268	3.04e-01	1	1961	protein_coding	zinc finger protein 268	12	133707570	133783698
ENSG00000152926	ZNF117	3.05e-01	1	1970	protein_coding	zinc finger protein 117	7	64432154	64467062
ENSG00000106689	LHX2	3.06e-01	1	1974	protein_coding	LIM homeobox 2	9	126763949	126795580
ENSG00000131196	NFATC1	3.07e-01	1	1984	protein_coding	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	18	77155856	77289325
ENSG00000205857	NANOGNB	3.07e-01	1	1984	protein_coding	NANOG neighbor homeobox	12	7917812	7926717
ENSG00000164611	PTTG1	3.09e-01	1	1996	protein_coding	pituitary tumor-transforming 1	5	159848829	159855748
ENSG00000147889	CDKN2A	3.09e-01	1	1997	protein_coding	cyclin-dependent kinase inhibitor 2A	9	21967751	21995300
ENSG00000124440	HIF3A	3.09e-01	1	1999	protein_coding	hypoxia inducible factor 3, alpha subunit	19	46800303	46846690
ENSG00000133111	RFXAP	3.11e-01	1	2011	protein_coding	regulatory factor X-associated protein	13	37393361	37403241
ENSG00000137494	ANKRD42	3.11e-01	1	2012	protein_coding	ankyrin repeat domain 42	11	82904781	82971736
ENSG00000139800	ZIC5	3.11e-01	1	2013	protein_coding	Zic family member 5	13	100615218	100624163
ENSG00000117139	KDM5B	3.12e-01	1	2019	protein_coding	lysine (K)-specific demethylase 5B	1	202696526	202778598
ENSG00000103343	ZNF174	3.13e-01	1	2027	protein_coding	zinc finger protein 174	16	3451235	3459370
ENSG00000101161	PRPF6	3.14e-01	1	2038	protein_coding	pre-mRNA processing factor 6	20	62612488	62664453
ENSG00000006468	ETV1	3.15e-01	1	2043	protein_coding	ets variant 1	7	13930853	14031050
ENSG00000124766	SOX4	3.15e-01	1	2047	protein_coding	SRY (sex determining region Y)-box 4	6	21593972	21598847
ENSG00000157514	TSC22D3	3.16e-01	1	2051	protein_coding	TSC22 domain family, member 3	X	106956451	107020572
ENSG00000100644	HIF1A	3.17e-01	1	2060	protein_coding	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	14	62162231	62214976
ENSG00000205927	OLIG2	3.17e-01	1	2061	protein_coding	oligodendrocyte lineage transcription factor 2	21	34398153	34401504
ENSG00000159086	PAXBP1	3.18e-01	1	2067	protein_coding	PAX3 and PAX7 binding protein 1	21	34106210	34144169
ENSG00000180806	HOXC9	3.18e-01	1	2067	protein_coding	homeobox C9	12	54388679	54397121
ENSG00000159592	GPBP1L1	3.19e-01	1	2074	protein_coding	GC-rich promoter binding protein 1-like 1	1	46092976	46153785
ENSG00000196792	STRN3	3.19e-01	1	2075	protein_coding	striatin, calmodulin binding protein 3	14	31363005	31495607
ENSG00000116793	PHTF1	3.19e-01	1	2075	protein_coding	putative homeodomain transcription factor 1	1	114239453	114302111
ENSG00000066136	NFYC	3.19e-01	1	2076	protein_coding	nuclear transcription factor Y, gamma	1	41157320	41237275
ENSG00000211445	GPX3	3.20e-01	1	2081	protein_coding	glutathione peroxidase 3 (plasma)	5	150400124	150408554
ENSG00000175879	HOXD8	3.20e-01	1	2081	protein_coding	homeobox D8	2	176994422	176997423
ENSG00000006377	DLX6	3.20e-01	1	2084	protein_coding	distal-less homeobox 6	7	96634860	96640351
ENSG00000162624	LHX8	3.22e-01	1	2097	protein_coding	LIM homeobox 8	1	75594119	75627218
ENSG00000159556	ISL2	3.23e-01	1	2103	protein_coding	ISL LIM homeobox 2	15	76629065	76634817
ENSG00000269404	SPIB	3.23e-01	1	2104	protein_coding	Spi-B transcription factor (Spi-1/PU.1 related)	19	50922195	50934570
ENSG00000123411	IKZF4	3.24e-01	1	2111	protein_coding	IKAROS family zinc finger 4 (Eos)	12	56401443	56432219
ENSG00000049618	ARID1B	3.24e-01	1	2116	protein_coding	AT rich interactive domain 1B (SWI1-like)	6	157099063	157531913
ENSG00000124092	CTCFL	3.24e-01	1	2116	protein_coding	CCCTC-binding factor (zinc finger protein)-like	20	56071035	56100708
ENSG00000108654	DDX5	3.25e-01	1	2119	protein_coding	DEAD (Asp-Glu-Ala-Asp) box helicase 5	17	62495734	62504317
ENSG00000253293	HOXA10	3.25e-01	1	2120	protein_coding	homeobox A10	7	27210210	27219880
ENSG00000141448	GATA6	3.25e-01	1	2125	protein_coding	GATA binding protein 6	18	19749404	19782491
ENSG00000135547	HEY2	3.26e-01	1	2126	protein_coding	hes-related family bHLH transcription factor with YRPW motif 2	6	126068810	126082415
ENSG00000134086	VHL	3.26e-01	1	2128	protein_coding	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	3	10182692	10193904
ENSG00000204920	ZNF155	3.26e-01	1	2129	protein_coding	zinc finger protein 155	19	44472014	44502477
ENSG00000196092	PAX5	3.27e-01	1	2135	protein_coding	paired box 5	9	36833272	37034103
ENSG00000176302	FOXR1	3.27e-01	1	2139	protein_coding	forkhead box R1	11	118842417	118852001
ENSG00000137948	BRDT	3.27e-01	1	2140	protein_coding	bromodomain, testis-specific	1	92414928	92479983
ENSG00000100219	XBP1	3.29e-01	1	2150	protein_coding	X-box binding protein 1	22	29190543	29196585
ENSG00000159210	SNF8	3.29e-01	1	2151	protein_coding	SNF8, ESCRT-II complex subunit	17	47006678	47022479
ENSG00000005513	SOX8	3.29e-01	1	2154	protein_coding	SRY (sex determining region Y)-box 8	16	1031808	1036979
ENSG00000104976	SNAPC2	3.30e-01	1	2157	protein_coding	small nuclear RNA activating complex, polypeptide 2, 45kDa	19	7985201	7988135
ENSG00000165659	DACH1	3.32e-01	1	2176		dachshund homolog 1 (Drosophila)	13	72012098	72441330
ENSG00000135272	MDFIC	3.34e-01	1	2191	protein_coding	MyoD family inhibitor domain containing	7	114562209	114659256
ENSG00000110777	POU2AF1	3.34e-01	1	2196	protein_coding	POU class 2 associating factor 1	11	111222977	111326355
ENSG00000167840	ZNF232	3.35e-01	1	2197	protein_coding	zinc finger protein 232	17	5008836	5026411
ENSG00000087510	TFAP2C	3.35e-01	1	2197	protein_coding	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	20	55204358	55214339
ENSG00000182568	SATB1	3.35e-01	1	2200	protein_coding	SATB homeobox 1	3	18386879	18487080
ENSG00000203883	SOX18	3.35e-01	1	2201	protein_coding	SRY (sex determining region Y)-box 18	20	62679076	62680994
ENSG00000171606	ZNF274	3.35e-01	1	2202	protein_coding	zinc finger protein 274	19	58694396	58724928
